Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
03/05/1965,14:32:18,-27.027,-63.214,Earthquake,560.8,,,5.8,MW,,,,,,,ISCGEM858356,ISCGEM,ISCGEM,ISCGEM,Automatic
03/05/1965,17:59:16,52.416,174.239,Earthquake,35,,,5.6,MW,,,,,,,ISCGEM858362,ISCGEM,ISCGEM,ISCGEM,Automatic
03/06/1965,11:10:51,-18.425,-132.923,Earthquake,10,,,5.6,MW,,,,,,,ISCGEM858385,ISCGEM,ISCGEM,ISCGEM,Automatic
03/06/1965,20:23:57,20.13,121.461,Earthquake,45,,,5.8,MW,,,,,,,ISCGEM858396,ISCGEM,ISCGEM,ISCGEM,Automatic
03/07/1965,01:43:11,-29.998,-177.968,Earthquake,50,,,6,MW,,,,,,,ISCGEM858401,ISCGEM,ISCGEM,ISCGEM,Automatic
03/09/1965,17:57:55,39.197,23.86,Earthquake,15,,,6.1,MW,,,,,,,ISCGEM858461,ISCGEM,ISCGEM,ISCGEM,Automatic
03/13/1965,07:33:24,53.292,-162.331,Earthquake,20,,,5.7,MW,,,,,,,ISCGEM858558,ISCGEM,ISCGEM,ISCGEM,Automatic
03/14/1965,15:53:07,36.405,70.724,Earthquake,207.8,,,7.4,MW,,,,,,,ISCGEM858598,ISCGEM,ISCGEM,ISCGEM,Automatic
03/15/1965,02:02:09,22.635,121.117,Earthquake,15,,,5.8,MW,,,,,,,ISCGEM858608,ISCGEM,ISCGEM,ISCGEM,Automatic
03/16/1965,16:46:17,40.697,143.032,Earthquake,32.1,,,6.4,MW,,,,,,,ISCGEM858655,ISCGEM,ISCGEM,ISCGEM,Automatic
03/17/1965,14:27:15,52.785,171.821,Earthquake,25,,,6,MW,,,,,,,ISCGEM858677,ISCGEM,ISCGEM,ISCGEM,Automatic
03/18/1965,06:22:12,-20.036,-175.89,Earthquake,224.9,,,6.3,MW,,,,,,,ISCGEM858689,ISCGEM,ISCGEM,ISCGEM,Automatic
03/18/1965,12:40:45,-55.857,-26.758,Earthquake,35,,,5.7,MW,,,,,,,ISCGEM858693,ISCGEM,ISCGEM,ISCGEM,Automatic
03/19/1965,16:20:53,-1.887,119.836,Earthquake,40,,,6,MW,,,,,,,ISCGEM858722,ISCGEM,ISCGEM,ISCGEM,Automatic
03/21/1965,11:08:19,-1.547,126.623,Earthquake,28.9,,,6.3,MW,,,,,,,ISCGEM858755,ISCGEM,ISCGEM,ISCGEM,Automatic
03/22/1965,02:44:49,-15.262,-173.254,Earthquake,30.5,,,6.5,MW,,,,,,,ISCGEM858772,ISCGEM,ISCGEM,ISCGEM,Automatic
03/22/1965,22:56:27,-31.974,-71.573,Earthquake,48.8,,,6.2,MW,,,,,,,ISCGEM858793,ISCGEM,ISCGEM,ISCGEM,Automatic
03/23/1965,23:54:05,-15.382,-173.194,Earthquake,25,,,6.2,MW,,,,,,,ISCGEM858819,ISCGEM,ISCGEM,ISCGEM,Automatic
03/24/1965,22:42:12,8.418,126.553,Earthquake,55,,,5.7,MW,,,,,,,ISCGEM858845,ISCGEM,ISCGEM,ISCGEM,Automatic
03/28/1965,13:23:01,55.26,161.904,Earthquake,40,,,5.8,MW,,,,,,,ISCGEM858938,ISCGEM,ISCGEM,ISCGEM,Automatic
03/28/1965,16:33:16,-32.522,-71.233,Earthquake,70,,,7.4,MW,,,,,,,ISCGEM858940,ISCGEM,ISCGEM,ISCGEM,Automatic
03/29/1965,10:47:38,40.687,142.915,Earthquake,30,,,6.4,MW,,,,,,,ISCGEM858966,ISCGEM,ISCGEM,ISCGEM,Automatic
03/30/1965,00:21:00,-20.502,-173.701,Earthquake,20,,,5.9,MW,,,,,,,ISCGEM858978,ISCGEM,ISCGEM,ISCGEM,Automatic
03/30/1965,02:27:06,50.282,177.959,Earthquake,20,,,7.6,MW,,,,,,,ISCGEM858982,ISCGEM,ISCGEM,ISCGEM,Automatic
03/31/1965,09:47:31,38.365,22.405,Earthquake,75,,,6.8,MW,,,,,,,ISCGEM859094,ISCGEM,ISCGEM,ISCGEM,Automatic
04/01/1965,07:08:37,9.986,125.896,Earthquake,60,,,5.9,MW,,,,,,,ISCGEMSUP857323,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
04/03/1965,11:20:43,15.8,-98.067,Earthquake,10,,,5.8,MW,,,,,,,ISCGEM857413,ISCGEM,ISCGEM,ISCGEM,Automatic
04/04/1965,13:30:39,51.865,175.172,Earthquake,30.7,,,5.7,MW,,,,,,,ISCGEM857447,ISCGEM,ISCGEM,ISCGEM,Automatic
04/04/1965,15:36:13,-27.088,-176.046,Earthquake,25,,,5.6,MW,,,,,,,ISCGEM857450,ISCGEM,ISCGEM,ISCGEM,Automatic
04/05/1965,03:12:53,37.505,22.067,Earthquake,20,,,6.1,MW,,,,,,,ISCGEM857472,ISCGEM,ISCGEM,ISCGEM,Automatic
04/05/1965,13:52:12,44.812,150.871,Earthquake,39.2,,,5.7,MW,,,,,,,ISCGEM857484,ISCGEM,ISCGEM,ISCGEM,Automatic
04/06/1965,05:31:59,36.083,139.968,Earthquake,50,,,5.7,MW,,,,,,,ISCGEM857506,ISCGEM,ISCGEM,ISCGEM,Automatic
04/06/1965,09:42:29,-0.463,120.039,Earthquake,25,,,6.2,MW,,,,,,,ISCGEM857510,ISCGEM,ISCGEM,ISCGEM,Automatic
04/08/1965,13:43:54,52.192,173.437,Earthquake,25,,,6.1,MW,,,,,,,ISCGEM857580,ISCGEM,ISCGEM,ISCGEM,Automatic
04/09/1965,10:45:26,-32.707,-178.207,Earthquake,20,,,6,MW,,,,,,,ISCGEM857602,ISCGEM,ISCGEM,ISCGEM,Automatic
