Age,Gender,PostalCode,ResidenceYears,ResidenceType,DistanceResidenceCampus,Commute,NativeLanguage,OtherLanguages,BirthCountry,LengthCm,WeightKg,DominantHand,DominantFoot,Diagnose,AlcoholConsumption,CigaretteConsumption,SleepHours,Rested,Happiness,EducationFather,OccupationFather,EducationMother,OccupationMother,FamilyIncome,FamilySize,NumSiblings,SiblingRank,FamilySituation,DivorcedYears,HappinessHome,ParentsStemEducation,ParentsStemOccupation,ParentsHelp,SecondaryEducation,EducationSector,KindergartenAge,SecondaryDiplomaYears,MathHours1,MathHours2,MathHours3,SecondaryMathResults,OtherEducation,OtherDiploma,Elective,ClassSize,ClassSizeComfort,ClassSizeAttention,MathPrep,MathTeacherHelpful,MathTeacherAvailable,Credits,StudyTimeGeneralHours,StudyTimeITHours,NonStudyTimeITHours,ITMainDomain,ITProjects,NumProgrammingLanguages,MathFun,MathConfidence,MathEffort,MathStress,MathMoreStress,MathProblemAction,RankFamily,RankYouthMovement,RankYouthHouse,RankMusic,RankSportsClub,RankHome,RankAssociation,RankFriends,OutdoorChild,OutdoorNow,OutdoorChildCompany,SportHours,SportType,ReadingHours,ReadingLanguages,ReadingEnjoyment,ComputerUseProHours,ComputerUseRecHours,ComputerGameTypes,ComputerGameNeglect,BrainGameHours,MusicalInstrument,MusicEducation,MusicYears,SheetMusic,SpendingMoney,SpendingGames,LootBoxKnow,LootBoxIllegal,LootBoxBought1,LootBoxBought2,TestQ01,TestQ02,TestQ03,TestQ04,TestQ05,TestQ06,TestQ07,TestQ08,TestQ09,TestQ10,TestQ11,TestQ12,TestQ13,TestQ14,TestQ15,TestTimeMins,GradeMath4IT,GradePOD1,GradeOOP1,GradeOOP2,GradeWA1,GradeWA2,GradePRJ1
35,Vrouwelijk,9090,7,Ik verblijf in de woning die ik zelf huur of bezit,12,Auto,Nederlands,Engels,België,177,60,Rechtshandig,Rechtsvoetig,Nee,2,0,7,5,5,Lager onderwijs,Gepensioneerd,Hoger beroepsonderwijs (HBO5),Gepensioneerd,Ik weet het niet,3,1,2,Twee-oudergezin: vader en moeder,17,10,Nee,Nee,2,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,15,5,5,8,8,Nee,Nee,Programmeren,1,5,9,2,5,5,12,2,2,45,Software-ontwikkeling,Dat heb ik vaak gedaan,3,8,5,8,5,5,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",3,5,8,6,2,1,7,4,> 5 keer per week,> 5 keer per week,Met vrienden,6,Individuele sport,1,"Nederlands,Engels",10,10,1,Ik speel geen/nauwelijks computergames,Nooit,0,Klavier,Muziekschool (deeltijds kunstonderwijs),28,Ja,150,0,Ja,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",,,,,,,,,,,,,,,,,10,12,10,10,11,14,16
19,Mannelijk,9660,19,Ik verblijf thuis bij mijn ouders/voogd,35,Trein,Nederlands,Engels,België,168,58,Rechtshandig,Rechtsvoetig,Nee,3,0,6,4,6,Bachelor of equivalent (hogeschool),Arbeider,Hoger secundair onderwijs,Arbeider,3000€ - 4499€,4,1,2,Twee-oudergezin: vader en moeder,,7,Nee,Nee,5,Algemeen Secundair Onderwijs (ASO),Gemeenschapsonderwijs (GO!),3,2,5,5,7,6,Nee,Nee,Programmeren,30,6,8,5,7,7,60,0,30,2,Software-ontwikkeling,Dat heb ik wel eens gedaan,3,7,6,9,10,8,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",2,8,5,7,4,1,6,3,2-5 keer per week,< 1 keer per week,Met vrienden,0,Ik beoefen geen sport,1,"Nederlands,Engels",6,3,4,Strategie,Af en toe,1,Nee,,,Nee,15,5,Ja,Ja,Ja,"Nee, dit interesseert me niet",1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,38,11,13,18,12,14,13,13
21,Mannelijk,9840,21,Ik verblijf thuis bij mijn ouders/voogd,7,Fiets,Nederlands,Engels,België,183,85,Rechtshandig,Rechtsvoetig,Nee,5,0,8,9,9,Bachelor of equivalent (hogeschool),Bediende,Bachelor of equivalent (hogeschool),Bediende,> 6000€,4,1,1,Twee-oudergezin: vader en moeder,,10,Ja,Ja,8,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,4,4,5,4,5,Nee,Nee,Programmeren,20,8,7,7,9,8,42,10,20,5,Software-ontwikkeling,Dat heb ik regelmatig gedaan,0,3,7,8,6,6,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",2,6,7,8,3,1,5,4,> 5 keer per week,> 5 keer per week,Met broers en/of zussen,10,Individuele sport,0,"Nederlands,Engels",3,5,2,Ik speel geen/nauwelijks computergames,Nooit,0,Nee,,0,Nee,100,0,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,0.5,1,1,0,0,0.5,0,0,0,0,46,10,14,14,13,12,12,14
19,Mannelijk,1770,19,Ik verblijf thuis bij mijn ouders/voogd,43,Trein,Nederlands,Engels,België,180,60,Rechtshandig,Rechtsvoetig,Dyslexie,1,0,6,0,4,Geen diploma,Arbeider,Lager secundair onderwijs,Ambtenaar,1500€ - 2999€,3,0,1,Twee-oudergezin: vader en moeder,,5,Nee,Nee,3,Technisch Secundair Onderwijs (TSO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,2,4,6,6,6,Nee,Nee,Systeem- en netwerkbeheer,35,5,6,3,4,8,69,0,2,0,Netwerkbeheer,Dat heb ik nog nooit gedaan,0,4,1,6,5,1,Ik sla het probleem over en bekijk het later nog eens,2,6,7,8,5,1,4,3,2-5 keer per week,< 1 keer per week,Met vrienden,0,Ik beoefen geen sport,5,Engels,8,6,6,Simulatie,Vaak,0,Nee,,,Nee,50,50,Ja,Ja,Ja,Ja,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,41,10,10,14,5,11,2,13
20,Mannelijk,9790,20,Ik verblijf thuis bij mijn ouders/voogd,32,Trein,Nederlands,Engels,België,185,74,Rechtshandig,Linksvoetig,Nee,15,0,8,7,7,Lager secundair onderwijs,Arbeider,Bachelor of equivalent (hogeschool),Anders,Ik weet het niet,4,1,1,Twee-oudergezin: vader en moeder,1,5,Nee,Nee,7,Algemeen Secundair Onderwijs (ASO),Stedelijke of gemeenteschool,3,2,4,5,4,8,Nee,Nee,Programmeren,20,9,10,9,7,9,60,10,10,4,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,7,8,5,1,1,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",2,8,6,4,5,1,7,3,2-5 keer per week,2-5 keer per week,Met vrienden,5,Individuele sport,0,Nederlands,5,7,4,Ik speel geen/nauwelijks computergames,Zelden,1,Percussie,Muziekschool (deeltijds kunstonderwijs),8,Ja,30,0,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",,,,,,,,,,,,,,,,,15,20,16,16,15,16,11
22,Mannelijk,9280,22,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",1,Te voet,Nederlands,Engels,België,190,84,Rechtshandig,Linksvoetig,Nee,0,0,7,4,2,Hoger secundair onderwijs,Ambtenaar,Master of equivalent (universiteit),Bediende,4500€ - 5999€,3,0,1,Twee-oudergezin: vader en moeder,,7,Nee,Nee,8,Algemeen Secundair Onderwijs (ASO),Gemeenschapsonderwijs (GO!),2.5,5,6,7,7,7,"Ja, een universitaire opleiding binnen STEM",Nee,Programmeren,19,4,2,9,5,5,33,15,7,30,Software-ontwikkeling,Dat heb ik vaak gedaan,2,6,4,10,8,0,Ik probeer het onmiddellijk op te lossen,2,8,7,6,3,1,4,5,2-5 keer per week,< 1 keer per week,Alleen,0,Ik beoefen geen sport,6,Nederlands,9,12,6,Strategie,Nooit,1,Nee,,,Ja,50,0,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,45,,18,,,14,,
19,Vrouwelijk,9940,18,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",20,Bus,Nederlands,Engels,België,164,66,Rechtshandig,Rechtsvoetig,Nee,1,0,7,7,4,Master of equivalent (universiteit),Zelfstandige,Bachelor of equivalent (hogeschool),Ambtenaar,3000€ - 4499€,4,1,2,Twee-oudergezin: vader en moeder,0,6,Nee,Nee,4,Algemeen Secundair Onderwijs (ASO),Gemeenschapsonderwijs (GO!),2.5,2,3,3,3,7,Nee,Nee,Programmeren,30,6,9,5,8,8,60,0,10,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,1,8,5,9,2,5,Ik probeer het onmiddellijk op te lossen,3,6,7,4,5,1,8,2,2-5 keer per week,1 keer per week,Met vrienden,3,Individuele sport,0,Nederlands,4,3,4,Survival,Zelden,7,Snaarinstrument,Privélessen,10,Nee,40,0,Nee,Nee,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,40,10,16,15,15,14,12,16
20,Mannelijk,9470,20,"Ik verblijf op kot (studentenhome, peda, huurwoning of -appartement dichtbij de hogeschoolcampus)",5,Fiets,Nederlands,Engels,België,188,90,Rechtshandig,Rechtsvoetig,Nee,5,0,6,8,7,Hoger secundair onderwijs,Bediende,Hoger secundair onderwijs,Ambtenaar,Ik weet het niet,3,0,1,Twee-oudergezin: vader en moeder,5,8,Nee,Ja,5,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,2.5,3,5,6,6,7,"Ja, een universitaire opleiding binnen STEM",Nee,Systeem- en netwerkbeheer,25,7,9,8,7,5,60,8,13,3,Cybersecurity,Dat heb ik wel eens gedaan,1,8,6,10,2,1,"Ik raadpleeg hulp van vrienden, ouders, het Internet, enz.",4,7,5,8,2,1,6,3,2-5 keer per week,2-5 keer per week,Met vrienden,4,Individuele sport,2,"Nederlands,Engels",8,6,5,Survival,Zelden,0,Nee,,,Nee,20,50,Ja,Ja,Ja,"Nee, dit interesseert me niet",1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,41,14,14,15,15,10,10,13
22,Mannelijk,1790,6,Ik verblijf thuis bij mijn ouders/voogd,40,Trein,Anders,"Nederlands,Engels",Anders,169,59,Rechtshandig,Rechtsvoetig,Nee,0,0,7,4,2,Ik weet het niet,Zelfstandige,Ik weet het niet,Werkloos,1500€ - 2999€,5,2,1,Twee-oudergezin: vader en moeder,,7,Nee,Nee,2,Algemeen Secundair Onderwijs (ASO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,4,4,4,5,6,6,"Ja, een universitaire opleiding buiten STEM",Nee,Programmeren,,7,4,3,7,7,41,2,8,0,Software-ontwikkeling,Dat heb ik wel eens gedaan,0,6,7,7,2,2,Ik sla het probleem over en bekijk het later nog eens,2,5,6,7,3,1,8,4,1 keer per week,"Nee, nooit",Met vrienden,0,Ik beoefen geen sport,0,,2,3,10,Adventure,Af en toe,1,Nee,,,Nee,0,0,Ja,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",1,1,1,1,1,1,1,1,0,1,0.5,0,1,0,1,40,12,10,10,13,16,10,8
21,Mannelijk,8400,21,Ik verblijf thuis bij mijn ouders/voogd,4,Fiets,Nederlands,Nederlands,België,184,65,Rechtshandig,Rechtsvoetig,Dyslexie,3,0,7,6,8,Master of equivalent (universiteit),Bediende,Master of equivalent (universiteit),Onderwijs,> 6000€,5,2,1,Twee-oudergezin: vader en moeder,,10,Nee,Nee,10,Technisch Secundair Onderwijs (TSO),Vrij onderwijs - Katholiek Onderwijs Vlaanderen,3,4,5,6,6,8,"Ja, een universitaire opleiding binnen STEM",Nee,Programmeren,20,7,8,7,8,5,60,10,,20,Software-ontwikkeling,Dat heb ik vaak gedaan,2,8,6,5,2,2,Ik sla het probleem over en bekijk het later nog eens,2,7,6,8,3,1,5,4,2-5 keer per week,2-5 keer per week,Met broers en/of zussen,3,,0,,0,6,2,Ik speel geen/nauwelijks computergames,Zelden,0,Nee,,,Nee,30,0,Nee,Ja,"Nee, dit interesseert me niet","Nee, dit interesseert me niet",0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,36,17,12,,18,17,12,15
